UNIVERSITY_ID;FACULTY_NAME;DEPARTMENT_ID;YEAR_ID;UNIVERSITY_NAME;UNIVERSITY_TYPE;DEPARTMENT_NAME;SCORE_TYPE;SCHOLARSHIP_TYPE;GENERAL_CAPACITY;SCHOOL_CAPACITY;GENERAL_ENROLLMENT;SCHOOL_ENROLLMENT;SUM_CAPACITY;SUM_ENROLLMENT;FIELD_RATE;LAST_SCORE;LAST_RANK;FIRST_SCORE;FIRST_RANK
1001;Eðitim Fakültesi;100110027;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Fen Bilgisi Öðretmenliði;SAY;Ücretsiz;40;1;40;1;41;41;100,00%;304,52225;243.465;385,89827;114.172
1001;Eðitim Fakültesi;100110036;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýlköðretim Matematik Öðretmenliði;SAY;Ücretsiz;60;2;60;2;62;62;100,00%;420,62416;80.263;449,01497;55.408
1001;Eðitim Fakültesi;100110045;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýngilizce Öðretmenliði;DÝL;Ücretsiz;80;2;80;2;82;82;100,00%;405,27923;14.263;436,00443;7.717
1001;Eðitim Fakültesi;100110054;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Okul Öncesi Öðretmenliði;SÖZ;Ücretsiz;60;2;60;2;62;62;100,00%;383,56482;22.582;414,9022;6.696
1001;Eðitim Fakültesi;100110063;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Rehberlik ve Psikolojik Danýþmanlýk;EA;Ücretsiz;60;2;60;2;62;62;100,00%;371,62001;84.676;386,59896;56.473
1001;Eðitim Fakültesi;100110072;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Sýnýf Öðretmenliði;EA;Ücretsiz;60;2;60;2;62;62;100,00%;362,57852;103.672;398,62197;38.092
1001;Eðitim Fakültesi;100110081;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Sosyal Bilgiler Öðretmenliði;SÖZ;Ücretsiz;50;2;52;---;52;52;100,00%;356,12823;54.083;372,13079;32.986
1001;Eðitim Fakültesi;100110099;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Türkçe Öðretmenliði;SÖZ;Ücretsiz;60;2;60;2;62;62;100,00%;379,31548;26.102;404,11757;10.467
1001;Fen-Edebiyat Fakültesi;100110115;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Biyoloji (Ýngilizce);SAY;Ücretsiz;50;2;52;---;52;52;100,00%;254,76855;403.446;276,28667;321.516
1001;Fen-Edebiyat Fakültesi;100110124;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Fizik (Ýngilizce);SAY;Ücretsiz;20;1;21;---;21;21;100,00%;246,35349;443.440;286,51987;290.377
1001;Fen-Edebiyat Fakültesi;100110133;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Kimya (Ýngilizce);SAY;Ücretsiz;50;2;52;---;52;52;100,00%;260,88541;377.705;310,55269;229.754
1001;Fen-Edebiyat Fakültesi;100110142;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Matematik (Ýngilizce);SAY;Ücretsiz;65;2;67;---;67;67;100,00%;274,12786;328.487;323,44549;203.325
1001;Fen-Edebiyat Fakültesi;100110151;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Psikoloji;EA;Ücretsiz;100;3;100;3;103;103;100,00%;383,96913;61.160;403,95392;31.410
1001;Fen-Edebiyat Fakültesi;100110169;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Sosyoloji;EA;Ücretsiz;60;2;62;---;62;62;100,00%;261,67943;498.423;310,8413;249.144
1001;Fen-Edebiyat Fakültesi;100110178;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Tarih;SÖZ;Ücretsiz;60;2;62;---;62;62;100,00%;284,87184;288.422;344,28144;75.374
1001;Fen-Edebiyat Fakültesi;100110187;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Türk Dili ve Edebiyatý;SÖZ;Ücretsiz;60;2;60;2;62;62;100,00%;312,13621;166.180;360,05166;48.004
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100110196;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýktisat;EA;Ücretsiz;90;3;93;---;93;93;100,00%;232,3822;737.746;293,53791;320.156
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100110203;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Ýþletme;EA;Ücretsiz;80;2;82;---;82;82;100,00%;237,36781;690.585;297,35773;303.190
1001;Ýktisadi ve Ýdari Bilimler Fakültesi;100110212;20;BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ;Devlet;Kamu Yönetimi;EA;Ücretsiz;80;2;82;---;82;82;100,00%;254,6746;547.886;296,88432;305.211
