"DEPARTMENT_ID";"DEPARTMENT_NAME";"UNIVERSITY_TYPE";"UNIVERSITY_NAME";"UNIVERSITY_ID";"FACULTY_NAME";"SCORE_TYPE";"SCHOLARSHIP_TYPE";"GENERAL_CAPACITY";"SCHOOL_CAPACITY";"GENERAL_ENROLLMENT";"SCHOOL_ENROLLMENT";"SUM_CAPACITY";"SUM_ENROLLMENT";"FIELD_RATE";"LAST_SCORE";"LAST_RANK";"FIRST_SCORE";"FIRST_RANK"
100110027;"Fen Bilgisi Öðretmenliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Eðitim Fakültesi";"SAY";"Ücretsiz";"40";"1";"41";"---";"41";"41";"%100,0";"317,03366";"269.932";"367,05616";"157.630"
100110036;"Ýlköðretim Matematik Öðretmenliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Eðitim Fakültesi";"SAY";"Ücretsiz";"50";"2";"50";"2";"52";"52";"%100,0";"408,55776";"100.372";"440,38486";"67.118"
100110045;"Ýngilizce Öðretmenliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Eðitim Fakültesi";"DÝL";"Ücretsiz";"80";"2";"80";"2";"82";"82";"%100,0";"416,26341";"21.812";"458,93429";"8.754"
100110054;"Okul Öncesi Öðretmenliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Eðitim Fakültesi";"SÖZ";"Ücretsiz";"70";"2";"70";"2";"72";"72";"%100,0";"399,59901";"21.652";"420,37666";"8.679"
100110063;"Rehberlik ve Psikolojik Danýþmanlýk";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Eðitim Fakültesi";"EA";"Ücretsiz";"60";"2";"60";"2";"62";"62";"%100,0";"361,86899";"125.664";"390,27682";"61.518"
100110072;"Sýnýf Öðretmenliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Eðitim Fakültesi";"EA";"Ücretsiz";"60";"2";"60";"2";"62";"62";"%100,0";"372,54436";"98.619";"423,27367";"17.663"
100110081;"Sosyal Bilgiler Öðretmenliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Eðitim Fakültesi";"SÖZ";"Ücretsiz";"50";"2";"51";"1";"52";"52";"%100,0";"359,62233";"84.062";"411,10741";"13.325"
100110099;"Türkçe Öðretmenliði";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Eðitim Fakültesi";"SÖZ";"Ücretsiz";"50";"2";"50";"2";"52";"52";"%100,0";"387,73494";"33.827";"432,48861";"4.847"
100110115;"Biyoloji (Ýngilizce)";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Fen-Edebiyat Fakültesi";"SAY";"Ücretsiz";"50";"2";"52";"---";"54";"52";"%96,3";"286,68876";"382.978";"308,73157";"296.384"
100110124;"Fizik (Ýngilizce)";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Fen-Edebiyat Fakültesi";"SAY";"Ücretsiz";"20";"1";"21";"---";"22";"21";"%95,5";"285,46663";"388.645";"320,76354";"258.958"
100110133;"Kimya (Ýngilizce)";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Fen-Edebiyat Fakültesi";"SAY";"Ücretsiz";"40";"1";"40";"1";"42";"41";"%97,6";"302,48740";"318.484";"373,46546";"147.399"
100110142;"Matematik (Ýngilizce)";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Fen-Edebiyat Fakültesi";"SAY";"Ücretsiz";"65";"2";"67";"---";"69";"67";"%97,1";"306,74098";"303.180";"395,90667";"115.848"
100110151;"Psikoloji";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Fen-Edebiyat Fakültesi";"EA";"Ücretsiz";"100";"3";"100";"3";"106";"106";"%100,0";"373,06211";"97.443";"394,69147";"53.718"
100110169;"Sosyoloji";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Fen-Edebiyat Fakültesi";"EA";"Ücretsiz";"60";"2";"62";"---";"64";"64";"%100,0";"262,35496";"745.591";"357,50278";"137.971"
100110178;"Tarih";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Fen-Edebiyat Fakültesi";"SÖZ";"Ücretsiz";"60";"2";"62";"---";"64";"64";"%100,0";"297,45143";"367.065";"390,77334";"30.316"
100110187;"Türk Dili ve Edebiyatý";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Fen-Edebiyat Fakültesi";"SÖZ";"Ücretsiz";"60";"2";"62";"---";"64";"64";"%100,0";"322,50046";"216.547";"379,17598";"45.644"
100110196;"Ýktisat";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Ýktisadi ve Ýdari Bilimler Fakültesi";"EA";"Ücretsiz";"90";"3";"93";"---";"96";"93";"%96,9";"255,00765";"827.171";"317,68090";"301.659"
100110203;"Ýþletme";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Ýktisadi ve Ýdari Bilimler Fakültesi";"EA";"Ücretsiz";"80";"2";"82";"---";"84";"82";"%97,6";"266,12534";"705.853";"339,26069";"200.435"
100110212;"Kamu Yönetimi";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Ýktisadi ve Ýdari Bilimler Fakültesi";"EA";"Ücretsiz";"80";"2";"82";"---";"84";"84";"%100,0";"258,83644";"783.929";"352,66451";"152.696"
100110221;"Uluslararasý Ýliþkiler";"Devlet";"BOLU ABANT ÝZZET BAYSAL ÜNÝVERSÝTESÝ ";1001;"Ýktisadi ve Ýdari Bilimler Fakültesi";"EA";"Ücretsiz";"70";"2";"72";"---";"74";"73";"%98,6";"279,13330";"580.029";"339,77388";"198.399"
