University Id;Faculty Name
1065;Ýnsan ve Toplum Bilimleri Fakültesi
1065;Mimarlýk Fakültesi
1065;Mühendislik Fakültesi
1065;Yaþam ve Doða Bilimleri Fakültesi
1065;Yönetim Bilimleri Fakültesi
2001;Eczacýlýk Fakültesi
2001;Ýnsan ve Toplum Bilimleri Fakültesi
2001;Mühendislik ve Doða Bilimleri Fakültesi
2001;Saðlýk Bilimleri Fakültesi
2001;Týp Fakültesi
3014;Diþ Hekimliði Fakültesi
3014;Eðitim Fakültesi
3014;Hukuk Fakültesi
3014;Mühendislik ve Mimarlýk Fakültesi
1104;Bilgisayar ve Biliþim Fakültesi
1104;Havacýlýk ve Uzay Bilimleri Fakültesi
1104;Ýnsan ve Toplum Bilimleri Fakültesi
1104;Ýþletme Fakültesi
1104;Mimarlýk ve Tasarým Fakültesi
1104;Mühendislik Fakültesi
1104;Siyasal Bilgiler Fakültesi
1002;Diþ Hekimliði Fakültesi
1002;Eczacýlýk Fakültesi
1002;Eðitim Fakültesi
1002;Fen-Edebiyat Fakültesi
1002;Ýktisadi ve Ýdari Bilimler Fakültesi
1002;Ýslami Ýlimler Fakültesi
1002;Mühendislik Fakültesi
1002;Saðlýk Bilimleri Fakültesi
1002;Týp Fakültesi
1002;Turizm Fakültesi
1002;Ziraat Fakültesi (Kahta)
1004;Bolvadin Uygulamalý Bilimler Fakültesi
1004;Dinar Uygulamalý Bilimler Yüksekokulu
1004;Eðitim Fakültesi
1004;Fen-Edebiyat Fakültesi
1004;Güzel Sanatlar Fakültesi
1004;Hukuk Fakültesi
1004;Ýktisadi ve Ýdari Bilimler Fakültesi
1004;Ýlahiyat Fakültesi
1004;Mühendislik Fakültesi
1004;Sandýklý Uygulamalý Bilimler Yüksekokulu
1004;Teknoloji Fakültesi
1004;Turizm Fakültesi
1004;Veteriner Fakültesi
1126;Diþ Hekimliði Fakültesi
1126;Eczacýlýk Fakültesi
1126;Saðlýk Bilimleri Fakültesi
1126;Týp Fakültesi
1005;Celal Oruç Hayvansal Üretim Yüksekokulu (Eleþkirt)
1005;Eczacýlýk Fakültesi
1005;Eðitim Fakültesi
1005;Fen-Edebiyat Fakültesi
1005;Ýktisadi ve Ýdari Bilimler Fakültesi
1005;Ýslami Ýlimler Fakültesi
1005;Patnos Sosyal Hizmetler Yüksekokulu
1005;Saðlýk Bilimleri Fakültesi
1005;Týp Fakültesi
1005;Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu
3006;Ýþletme Fakültesi
1007;Diþ Hekimliði Fakültesi
1007;Edebiyat Fakültesi
1007;Eðitim Fakültesi
1007;Fen Fakültesi
1007;Güzel Sanatlar Fakültesi
1007;Hemþirelik Fakültesi
1007;Hukuk Fakültesi
1007;Ýktisadi ve Ýdari Bilimler Fakültesi
1007;Ýlahiyat Fakültesi
1007;Ýletiþim Fakültesi
1007;Kemer Denizcilik Fakültesi
1007;Kumluca Saðlýk Bilimleri Fakültesi
1007;Manavgat Sosyal ve Beþeri Bilimler Fakültesi
1007;Manavgat Turizm Fakültesi
1007;Mimarlýk Fakültesi
1007;Mühendislik Fakültesi
1007;Saðlýk Bilimleri Fakültesi
1007;Serik Ýþletme Fakültesi
1007;Su Ürünleri Fakültesi
1007;Týp Fakültesi
1007;Turizm Fakültesi
1007;Uygulamalý Bilimler Fakültesi
1007;Ziraat Fakültesi
1008;Diþ Hekimliði Fakültesi
1008;Eðitim Fakültesi
1008;Fen-Edebiyat Fakültesi
1008;Ýktisadi ve Ýdari Bilimler Fakültesi
1008;Ýletiþim Fakültesi
1008;Ýslami Ýlimler Fakültesi
1008;Mimarlýk ve Tasarým Fakültesi
1008;Mühendislik Fakültesi
1008;Saðlýk Bilimleri Fakültesi
1008;Týp Fakültesi
1008;Turizm Fakültesi
1008;Veteriner Fakültesi
1105;Diþ Hekimliði Fakültesi
1105;Eðitim Fakültesi
1105;Gazipaþa Havacýlýk ve Uzay Bilimleri Fakültesi
1105;Rafet Kayýþ Mühendislik Fakültesi
1105;Saðlýk Bilimleri Fakültesi
1105;Týp Fakültesi
1105;Turizm Fakültesi
2101;Mühendislik ve Doða Bilimleri Fakültesi
2101;Saðlýk Bilimleri Fakültesi
2101;Sanat ve Tasarým Fakültesi
2029;Diþ Hekimliði Fakültesi
2029;Eczacýlýk Fakültesi
2029;Hukuk Fakültesi
2029;Ýþletme Fakültesi
2029;Mühendislik ve Mimarlýk Fakültesi
2029;Týp Fakültesi
2029;Uygulamalý Bilimler Fakültesi
1009;Eðitim Fakültesi
1009;Fen-Edebiyat Fakültesi
1009;Ýlahiyat Fakültesi
1009;Merzifon Ýktisadi ve Ýdari Bilimler Fakültesi
1009;Mimarlýk Fakültesi
1009;Mühendislik Fakültesi
1009;Saðlýk Bilimleri Fakültesi
1009;Týp Fakültesi
1010;Açýköðretim Fakültesi
1010;Eczacýlýk Fakültesi
1010;Edebiyat Fakültesi
1010;Eðitim Fakültesi
1010;Hukuk Fakültesi
1010;Ýktisadi ve Ýdari Bilimler Fakültesi
1010;Ýktisat Fakültesi
1010;Ýletiþim Bilimleri Fakültesi
1010;Ýþletme Fakültesi
1010;Saðlýk Bilimleri Fakültesi
1010;Turizm Fakültesi
2095;Güzel Sanatlar ve Tasarým Fakültesi
2095;Hukuk Fakültesi
2095;Ýnsan ve Toplum Bilimleri Fakültesi
2095;Mühendislik ve Mimarlýk Fakültesi
1117;Edebiyat Fakültesi
1117;Finansal Bilimler Fakültesi
1117;Güzel Sanatlar Fakültesi
1117;Hukuk Fakültesi
1117;Ýktisadi ve Ýdari Bilimler Fakültesi
1117;Ýlahiyat Fakültesi
1117;Ýletiþim Fakültesi
1117;Polatlý Fen-Edebiyat Fakültesi
1117;Sanat ve Tasarým Fakültesi
1117;Tapu Kadastro Yüksekokulu
1117;Turizm Fakültesi
2092;Diþ Hekimliði Fakültesi
2092;Eczacýlýk Fakültesi
2092;Güzel Sanatlar Tasarým ve Mimarlýk Fakültesi
2092;Hukuk Fakültesi
2092;Ýletiþim Fakültesi
2092;Mühendislik ve Doða Bilimleri Fakültesi
2092;Saðlýk Bilimleri Fakültesi
2092;Siyasal Bilgiler Fakültesi
2092;Týp Fakültesi
1109;ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa)
1109;Hukuk Fakültesi
1109;Ýlahiyat Fakültesi
1109;Siyasal Bilgiler Fakültesi
1109;Sosyal ve Beþeri Bilimler Fakültesi
1109;Yabancý Diller Fakültesi
1011;Açýk ve Uzaktan Eðitim Fakültesi
1011;Dil ve Tarih Coðrafya Fakültesi
1011;Diþ Hekimliði Fakültesi
1011;Eczacýlýk Fakültesi
1011;Eðitim Bilimleri Fakültesi
1011;Fen Fakültesi
1011;Güzel Sanatlar Fakültesi
1011;Hemþirelik Fakültesi
1011;Hukuk Fakültesi
1011;Ýlahiyat Fakültesi
1011;Ýletiþim Fakültesi
1011;Mühendislik Fakültesi
1011;Saðlýk Bilimleri Fakültesi
1011;Siyasal Bilgiler Fakültesi
1011;Týp Fakültesi
1011;Uygulamalý Bilimler Fakültesi
1011;Veteriner Fakültesi
1011;Ziraat Fakültesi
1100;Diþ Hekimliði Fakültesi
1100;Havacýlýk ve Uzay Bilimleri Fakültesi
1100;Hukuk Fakültesi
1100;Ýlahiyat Fakültesi
1100;Ýnsan ve Toplum Bilimleri Fakültesi
1100;Ýþletme Fakültesi
1100;Mimarlýk ve Güzel Sanatlar Fakültesi
1100;Mühendislik ve Doða Bilimleri Fakültesi
1100;Saðlýk Bilimleri Fakültesi
1100;Siyasal Bilgiler Fakültesi
1100;Þereflikoçhisar Uygulamalý Bilimler Fakültesi
1100;Týp Fakültesi
2102;Ýktisadi ve Ýdari Bilimler Fakültesi
2102;Ýnsani Bilimler Fakültesi
2102;Mühendislik-Mimarlýk Fakültesi
2102;Sanat ve Tasarým Fakültesi
2064;Diþ Hekimliði Fakültesi
2064;Güzel Sanatlar ve Mimarlýk Fakültesi
2064;Hukuk Fakültesi
2064;Mühendislik ve Doða Bilimleri Fakültesi
2064;Saðlýk Bilimleri Fakültesi
2064;Sivil Havacýlýk Yüksekokulu
2064;Turizm Fakültesi
1012;Ýktisadi ve Ýdari Bilimler Fakültesi
1012;Ýlahiyat Fakültesi
1012;Ýnsani Bilimler ve Edebiyat Fakültesi
1012;Mühendislik Fakültesi
1012;Saðlýk Bilimleri Fakültesi
1012;Spor Bilimleri Fakültesi
1012;Turizm Ýþletmeciliði ve Otelcilik Yüksekokulu
3016;Ýletiþim Fakültesi
3016;Sanat Fakültesi
3016;Tasarým Fakültesi
1013;Eðitim Fakültesi
1013;Fen-Edebiyat Fakültesi
1013;Hopa Ýktisadi ve Ýdari Bilimler Fakültesi
1013;Ýlahiyat Fakültesi (Hopa)
1013;Ýþletme Fakültesi
1013;Mühendislik Fakültesi
1013;Orman Fakültesi
1013;Saðlýk Bilimleri Fakültesi
1013;Sanat ve Tasarým Fakültesi (Arhavi)
1013;Spor Bilimleri Fakültesi
1013;Turizm Fakültesi
1014;Açýk ve Uzaktan Öðretim Fakültesi
1014;Diþ Hekimliði Fakültesi
1014;Eczacýlýk Fakültesi
1014;Edebiyat Fakültesi
1014;Fen Fakültesi
1014;Güzel Sanatlar Fakültesi
1014;Hemþirelik Fakültesi
1014;Hukuk Fakültesi
1014;Ýktisadi ve Ýdari Bilimler Fakültesi
1014;Ýlahiyat Fakültesi
1014;Ýletiþim Fakültesi
1014;Kazým Karabekir Eðitim Fakültesi
1014;Mimarlýk ve Tasarým Fakültesi
1014;Mühendislik Fakültesi
1014;Oltu Beþeri ve Sosyal Bilimler Fakültesi
1014;Saðlýk Bilimleri Fakültesi
1014;Su Ürünleri Fakültesi
1014;Týp Fakültesi
1014;Turizm Fakültesi
1014;Uygulamalý Bilimler Fakültesi (Oltu)
1014;Veteriner Fakültesi
1014;Ziraat Fakültesi
2002;Fen-Edebiyat Fakültesi
2002;Güzel Sanatlar Tasarým ve Mimarlýk Fakültesi
2002;Hukuk Fakültesi
2002;Ýþletme Fakültesi
2002;Mühendislik Fakültesi
2002;Saðlýk Bilimleri Fakültesi
2002;Sivil Havacýlýk Yüksekokulu
2002;Týp Fakültesi
2003;Fen-Edebiyat Fakültesi
2003;Ýktisadi ve Ýdari Bilimler Fakültesi
2003;Ýletiþim Fakültesi
2003;Mühendislik ve Mimarlýk Fakültesi
2003;Saðlýk Bilimleri Fakültesi
2003;Uygulamalý Bilimler Yüksekokulu
1003;Diþ Hekimliði Fakültesi
1003;Eðitim Fakültesi
1003;Fen Fakültesi
1003;Hemþirelik Fakültesi
1003;Ýlahiyat Fakültesi
1003;Ýletiþim Fakültesi
1003;Ýnsan ve Toplum Bilimleri Fakültesi
1003;Mühendislik Fakültesi
1003;Nazilli Ýktisadi ve Ýdari Bilimler Fakültesi
1003;Saðlýk Bilimleri Fakültesi
1003;Siyasal Bilgiler Fakültesi
1003;Söke Ýþletme Fakültesi
1003;Týp Fakültesi
1003;Turizm Fakültesi (Kuþadasý)
1003;Veteriner Fakültesi
1003;Ziraat Fakültesi
3017;Mimarlýk ve Mühendislik Fakültesi
3017;Turizm Fakültesi
2005;Diþ Hekimliði Fakültesi
2005;Eczacýlýk Fakültesi
2005;Eðitim Bilimleri Fakültesi
2005;Hukuk Fakültesi
2005;Ýletiþim Fakültesi
2005;Mimarlýk ve Tasarým Fakültesi
2005;Mühendislik ve Doða Bilimleri Fakültesi
2005;Saðlýk Bilimleri Fakültesi
2005;Týp Fakültesi
2005;Uygulamalý Bilimler Yüksekokulu
1015;Burhaniye Uygulamalý Bilimler Fakültesi
1015;Edremit Sivil Havacýlýk Yüksekokulu
1015;Fen-Edebiyat Fakültesi
1015;Hukuk Fakültesi
1015;Ýktisadi ve Ýdari Bilimler Fakültesi
1015;Ýlahiyat Fakültesi
1015;Mimarlýk Fakültesi
1015;Mühendislik Fakültesi
1015;Necatibey Eðitim Fakültesi
1015;Saðlýk Bilimleri Fakültesi
1015;Týp Fakültesi
1015;Turizm Fakültesi
1015;Veteriner Fakültesi
1106;Denizcilik Fakültesi
1106;Ýktisadi ve Ýdari Bilimler Fakültesi
1106;Ýletiþim Fakültesi
1106;Ýnsan ve Toplum Bilimleri Fakültesi
1106;Ýslami Ýlimler Fakültesi
1106;Mühendislik ve Doða Bilimleri Fakültesi
1106;Ömer Seyfettin Uygulamalý Bilimler Fakültesi
1106;Saðlýk Bilimleri Fakültesi
1106;Týp Fakültesi
1016;Bartýn Orman Fakültesi
1016;Edebiyat Fakültesi
1016;Eðitim Fakültesi
1016;Fen Fakültesi
1016;Ýktisadi ve Ýdari Bilimler Fakültesi
1016;Ýslami Ýlimler Fakültesi
1016;Saðlýk Bilimleri Fakültesi
1016;Spor Bilimleri Fakültesi
2006;Diþ Hekimliði Fakültesi
2006;Eczacýlýk Fakültesi
2006;Eðitim Fakültesi
2006;Fen-Edebiyat Fakültesi
2006;Güzel Sanatlar Tasarým ve Mimarlýk Fakültesi
2006;Hukuk Fakültesi
2006;Ýktisadi ve Ýdari Bilimler Fakültesi
2006;Ýletiþim Fakültesi
2006;Mühendislik Fakültesi
2006;Saðlýk Bilimleri Fakültesi
2006;Týp Fakültesi
2006;Ticari Bilimler Fakültesi
1017;Diþ Hekimliði Fakültesi
1017;Fen-Edebiyat Fakültesi
1017;Güzel Sanatlar Fakültesi
1017;Ýktisadi ve Ýdari Bilimler Fakültesi
1017;Ýslami Ýlimler Fakültesi
1017;Mühendislik-Mimarlýk Fakültesi
1017;Saðlýk Bilimleri Fakültesi
1017;Turizm Fakültesi
1018;Eðitim Fakültesi
1018;Ýktisadi ve Ýdari Bilimler Fakültesi
1018;Ýlahiyat Fakültesi
1018;Ýnsan ve Toplum Bilimleri Fakültesi
1018;Mühendislik Fakültesi
1018;Saðlýk Bilimleri Fakültesi
1018;Uygulamalý Bilimler Fakültesi
2008;Ýþletme ve Yönetim Bilimleri Fakültesi
2008;Mühendislik ve Mimarlýk Fakültesi
2008;Sanat ve Tasarým Fakültesi
2008;Sivil Havacýlýk Yüksekokulu
2008;Sosyal Bilimler Fakültesi
2009;Diþ Hekimliði Fakültesi
2009;Eczacýlýk Fakültesi
2009;Saðlýk Bilimleri Fakültesi
2009;Týp Fakültesi
1019;Diþ Hekimliði Fakültesi
1019;Fen Fakültesi
1019;Güzel Sanatlar ve Tasarým Fakültesi
1019;Ýktisadi ve Ýdari Bilimler Fakültesi
1019;Ýnsan ve Toplum Bilimleri Fakültesi
1019;Ýslami Ýlimler Fakültesi
1019;Mühendislik Fakültesi
1019;Saðlýk Bilimleri Fakültesi
1019;Týp Fakültesi
1019;Uygulamalý Bilimler Fakültesi
1019;Ziraat ve Doða Bilimleri Fakültesi
1020;Diþ Hekimliði Fakültesi
1020;Fen-Edebiyat Fakültesi
1020;Fizik Tedavi ve Rehabilitasyon Fakültesi
1020;Ýktisadi ve Ýdari Bilimler Fakültesi
1020;Ýslami Ýlimler Fakültesi
1020;Mühendislik-Mimarlýk Fakültesi
1020;Saðlýk Bilimleri Fakültesi
1020;Spor Bilimleri Fakültesi
1020;Veteriner Fakültesi
1020;Ziraat Fakültesi
2076;Diþ Hekimliði Fakültesi
2076;Eczacýlýk Fakültesi
2076;Eðitim Fakültesi
2076;Mühendislik ve Doða Bilimleri Fakültesi
2076;Saðlýk Bilimleri Fakültesi
2076;Týp Fakültesi
1021;Fen-Edebiyat Fakültesi
1021;Ýktisadi ve Ýdari Bilimler Fakültesi
1021;Ýslami Ýlimler Fakültesi
1021;Kanýk Uygulamalý Bilimler Yüksekokulu (Ahlat)
1021;Mühendislik-Mimarlýk Fakültesi
1021;Saðlýk Bilimleri Fakültesi
1022;Eðitim Fakültesi
1022;Fen-Edebiyat Fakültesi
1022;Hukuk Fakültesi
1022;Ýktisadi ve Ýdari Bilimler Fakültesi
1022;Mühendislik Fakültesi
1022;Yönetim Bilimleri Fakültesi
1001;Diþ Hekimliði Fakültesi
1001;Eðitim Fakültesi
1001;Fen-Edebiyat Fakültesi
1001;Gerede Uygulamalý Bilimler Fakültesi
1001;Hukuk Fakültesi
1001;Ýktisadi ve Ýdari Bilimler Fakültesi
1001;Ýlahiyat Fakültesi
1001;Ýletiþim Fakültesi
1001;Mimarlýk Fakültesi
1001;Mühendislik Fakültesi
1001;Saðlýk Bilimleri Fakültesi
1001;Týp Fakültesi
1001;Turizm Fakültesi
1001;Ziraat Fakültesi
1073;Bucak Bilgisayar ve Biliþim Fakültesi
1073;Bucak Ýþletme Fakültesi
1073;Bucak Saðlýk Yüksekokulu
1073;Bucak Zeliha Tolunay Uygulamalý Teknoloji ve Ýþletmecilik Yüksekokulu
1073;Diþ Hekimliði Fakültesi
1073;Eðitim Fakültesi
1073;Fen-Edebiyat Fakültesi
1073;Gölhisar Uygulamalý Bilimler Yüksekokulu
1073;Ýktisadi ve Ýdari Bilimler Fakültesi
1073;Ýlahiyat Fakültesi
1073;Mühendislik-Mimarlýk Fakültesi
1073;Saðlýk Bilimleri Fakültesi
1073;Sanat ve Tasarým Fakültesi
1073;Spor Bilimleri Fakültesi
1073;Turizm Fakültesi
1073;Veteriner Fakültesi
1024;Denizcilik Fakültesi
1024;Ýnsan ve Toplum Bilimleri Fakültesi
1024;Mimarlýk ve Tasarým Fakültesi
1024;Mühendislik ve Doða Bilimleri Fakültesi
1024;Orman Fakültesi
1097;Diþ Hekimliði Fakültesi
1097;Eðitim Fakültesi
1097;Fen-Edebiyat Fakültesi
1097;Hukuk Fakültesi (Gemlik)
1097;Ýktisadi ve Ýdari Bilimler Fakültesi
1097;Ýlahiyat Fakültesi
1097;Ýnegöl Ýþletme Fakültesi
1097;Mimarlýk Fakültesi
1097;Mühendislik Fakültesi
1097;Saðlýk Bilimleri Fakültesi
1097;Týp Fakültesi
1097;Veteriner Fakültesi
1097;Ziraat Fakültesi
2010;Fen-Edebiyat Fakültesi
2010;Hukuk Fakültesi
2010;Ýktisadi ve Ýdari Bilimler Fakültesi
1027;Biga Ýktisadi ve Ýdari Bilimler Fakültesi
1027;Biga Uygulamalý Bilimler Fakültesi
1027;Çan Uygulamalý Bilimler Fakültesi
1027;Çanakkale Uygulamalý Bilimler Fakültesi
1027;Deniz Bilimleri ve Teknolojisi Fakültesi
1027;Diþ Hekimliði Fakültesi
1027;Eðitim Fakültesi
1027;Fen Fakültesi
1027;Gökçeada Uygulamalý Bilimler Yüksekokulu
1027;Ýlahiyat Fakültesi
1027;Ýletiþim Fakültesi
1027;Ýnsan ve Toplum Bilimleri Fakültesi
1027;Mimarlýk ve Tasarým Fakültesi
1027;Mühendislik Fakültesi
1027;Saðlýk Bilimleri Fakültesi
1027;Siyasal Bilgiler Fakültesi
1027;Týp Fakültesi
1027;Turizm Fakültesi
1027;Ziraat Fakültesi
2011;Fen-Edebiyat Fakültesi
2011;Hukuk Fakültesi
2011;Ýktisadi ve Ýdari Bilimler Fakültesi
2011;Mimarlýk Fakültesi
2011;Mühendislik Fakültesi
1028;Diþ Hekimliði Fakültesi
1028;Fen Fakültesi
1028;Hukuk Fakültesi
1028;Ilgaz Turizm ve Otelcilik Yüksekokulu
1028;Ýktisadi ve Ýdari Bilimler Fakültesi
1028;Ýnsan ve Toplum Bilimleri Fakültesi
1028;Ýslami Ýlimler Fakültesi
1028;Mühendislik Fakültesi
1028;Orman Fakültesi
1028;Saðlýk Bilimleri Fakültesi
1029;Ceyhan Mühendislik Fakültesi
1029;Ceyhan Veteriner Fakültesi
1029;Diþ Hekimliði Fakültesi
1029;Eczacýlýk Fakültesi
1029;Eðitim Fakültesi
1029;Fen-Edebiyat Fakültesi
1029;Güzel Sanatlar Fakültesi
1029;Hukuk Fakültesi
1029;Ýktisadi ve Ýdari Bilimler Fakültesi
1029;Ýlahiyat Fakültesi
1029;Ýletiþim Fakültesi
1029;Kozan Ýþletme Fakültesi
1029;Mimarlýk Fakültesi
