DEPARTMENT_ID,DEPARTMENT_NAME,LAST_RANK,FIRST_RANK,LAST_SCORE,FIRST_SCORE,SUM_CAPACITY,SUM_ENROLLMENT,FIELD_RATE,GENERAL_ENROLLMENT,SCORE_RANGE,RANK_RANGE,ENROLLMENT_EFFICIENCY
100110027,  Fen Bilgisi Öðretmenliði,259724.0,173041.0,311.71,351.69,41.0,41.0,1.0,41.0,39.98000000000002,86683.0,1.0
100110027,Fen Bilgisi Öðretmenliði,262169.0,127362.0,287.39,356.41,41.0,41.0,1.0,40.75,69.02000000000004,134807.0,1.0
100110036,  Ýlköðretim Matematik Öðretmenliði,95924.0,52610.0,409.32,454.53,52.0,52.0,1.0,50.0,45.20999999999998,43314.0,1.0
100110036,Ýlköðretim Matematik Öðretmenliði,90213.5,52729.75,387.62,428.79,57.0,57.0,1.0,55.0,41.170000000000016,37483.75,1.0
100110045,  Ýngilizce Öðretmenliði,19913.0,11480.0,411.56,441.05,82.0,82.0,1.0,82.0,29.49000000000001,8433.0,1.0
100110045,Ýngilizce Öðretmenliði,17059.6,9657.8,404.72,432.92,73.8,73.8,1.0,72.4,28.19999999999999,7401.799999999999,1.0
100110054,  Okul Öncesi Öðretmenliði,24796.0,7820.0,397.63,425.29,62.0,62.0,1.0,60.0,27.660000000000025,16976.0,1.0
100110054,Okul Öncesi Öðretmenliði,21683.6,6890.2,387.83,416.53,62.0,62.0,1.0,60.0,28.69999999999999,14793.399999999998,1.0
100110063,  Rehberlik ve Psikolojik Danýþmanlýk,141659.0,80833.0,361.92,387.8,62.0,62.0,1.0,60.0,25.879999999999995,60826.0,1.0
100110063,Rehberlik ve Psikolojik Danýþmanlýk,107081.4,58416.8,350.75,375.12,57.8,57.8,1.0,56.2,24.370000000000005,48664.59999999999,1.0
100110072,  Sýnýf Öðretmenliði,117016.0,80255.0,371.49,388.06,52.0,52.0,1.0,50.0,16.569999999999993,36761.0,1.0
100110072,Sýnýf Öðretmenliði,105221.8,39732.2,350.55,389.91,58.0,58.0,1.0,56.0,39.360000000000014,65489.600000000006,1.0
100110081,  Sosyal Bilgiler Öðretmenliði,84634.0,42373.0,359.77,382.53,52.0,52.0,1.0,52.0,22.75999999999999,42261.0,1.0
100110081,Sosyal Bilgiler Öðretmenliði,74695.2,26189.0,350.85,383.73,49.8,49.8,1.0,49.6,32.879999999999995,48506.2,1.0
100110099,  Türkçe Öðretmenliði,39800.0,5324.0,384.4,433.85,52.0,52.0,1.0,50.0,49.450000000000045,34476.0,1.0
100110099,Türkçe Öðretmenliði,30307.6,10410.8,378.92,406.8,53.8,53.8,1.0,52.0,27.879999999999995,19896.8,1.0
100110115,  Biyoloji (Ýngilizce),399742.0,289731.0,271.67,301.26,52.0,52.0,1.0,52.0,29.589999999999975,110011.0,1.0
100110115,Biyoloji (Ýngilizce),395417.75,264637.75,253.07,293.62,50.0,46.5,0.93,46.25,40.55000000000001,130780.0,0.93
100110115,Biyoloji(Ýngilizce),430416.0,234136.0,232.85,281.22,41.0,41.0,1.0,41.0,48.37000000000003,196280.0,1.0
