DEPARTMENT_GROUP,RANK_CHANGE,SCORE_CHANGE,POPULARITY_CHANGE,FIELD_RATE_mean,FIRST_RANK_mean,FIRST_SCORE_mean,DEPARTMENT_ID_count,TREND_CATEGORY
  Bilgi ve Belge Yönetimi (%50 Ýndirimli),-0.2436,0.2046,16.1667,0.6767,441764.8333,276.8467,1.3333,Strongly Growing
  Uluslararasý Ýþletme Yönetimi,0.1452,0.0007,12.0156,0.668,676310.2,250.604,1.0,Strongly Growing
  Taký Tasarýmý,-0.1145,0.1444,10.7778,0.7575,447314.0,278.5775,1.0,Strongly Growing
Gemi Ýnþaatý ve Gemi Makineleri Mühendisliði (UOLP-Strathclyde) (Ýngilizce) (UOLP) (Ücretli),0.2877,0.0319,6.8982,0.6125,59811.45,428.6425,2.0,Strongly Growing
  Ýþ Saðlýðý ve Güvenliði (%50 Ýndirimli),0.1614,0.0376,6.3333,0.7625,472976.75,249.8075,1.5,Strongly Growing
  Seyahat Ýþletmeciliði,0.1046,0.0545,6.2727,0.8383,437055.0833,278.2783,1.1667,Strongly Growing
Ýngiliz Dili ve Edebiyatý (Ýngilizce) (UOLP-Uluslararasý Saraybosna Üniversitesi) (Ücretli),0.6219,0.06,6.2381,0.53,86900.25,389.375,1.0,Strongly Growing
  Yaban Hayatý Ekolojisi ve Yönetimi,0.3114,-0.0526,4.5129,0.802,330621.6,284.102,1.0,Strongly Growing
  Tohum Bilimi ve Teknolojisi,0.0274,0.0194,4.5125,0.81,457210.0,250.178,1.0,Strongly Growing
  Süt Teknolojisi,0.0075,0.0315,3.6817,0.812,304043.7,286.414,1.8,Strongly Growing
Sanat ve Kültür Yönetimi (%50 Ýndirimli),0.2784,0.0267,3.4456,0.535,294110.75,293.6525,2.0,Strongly Growing
  Muhasebe ve Finans Yönetimi (%50 Ýndirimli),0.0679,0.0709,3.3805,0.7325,502512.2075,274.16,2.75,Strongly Growing
Biliþim Sistemleri Mühendisliði (Burslu),0.885,0.0092,3.2,0.6433,153687.25,377.06,2.0,Strongly Growing
  Ýletiþim Sanatlarý (Burslu),3.4917,0.1097,2.697,0.7775,353979.0,292.6675,1.0,Strongly Growing
  Basýn ve Yayýn (%50 Ýndirimli),-0.6668,0.6279,2.6,0.23,986120.5,227.395,1.0,Strongly Growing
  Sermaye Piyasasý (%50 Ýndirimli),0.3042,0.0555,2.4412,0.7233,550369.3333,265.1733,1.0,Strongly Growing
Egzersiz ve Spor Bilimleri (%50 Ýndirimli),0.2632,0.0067,2.3111,0.58,808001.5,236.86,1.0,Strongly Growing
  Balýkçýlýk Teknolojisi Mühendisliði,0.0267,0.0149,2.0595,0.704,375287.9,269.314,1.8,Strongly Growing
  Sigortacýlýk ve Risk Yönetimi,0.3017,-0.026,2.025,0.82,403770.4,288.074,1.0,Strongly Growing
Tütün Eksperliði,0.2797,0.0039,2.025,0.82,222909.4,321.34,1.0,Strongly Growing
  Pazarlama (ÝÖ),-0.2701,0.1644,1.871,0.73,243385.6667,313.2767,1.0,Strongly Growing
  Tarýmsal Yapýlar ve Sulama,0.0513,0.0175,1.8403,0.845,327233.04,277.5217,6.8333,Strongly Growing
  Rekreasyon (Açýköðretim),0.1082,-0.0029,1.7481,0.646,174358.6,333.9,2.0,Strongly Growing
  Ýletiþim Tasarýmý ve Yönetimi (Ýngilizce) (%50 Ýndirimli),0.2967,0.0857,1.7102,0.732,250236.1,310.944,1.6,Strongly Growing
  Sigortacýlýk ve Sosyal Güvenlik (%50 Ýndirimli),0.1556,0.0074,1.6667,0.65,604386.75,256.5325,1.0,Strongly Growing
Spor Yöneticiliði (Yüksekokul) (%50 Ýndirimli),-0.1928,0.128,1.6316,0.69,491414.0,271.575,1.0,Strongly Growing
  Tarih (Arapça),2.2049,0.0617,1.62,0.85,193451.6667,325.4683,1.0,Strongly Growing
  Tekstil ve Moda Tasarýmý (%50 Ýndirimli),0.2389,0.0093,1.6195,0.79,143235.692,345.672,3.6,Strongly Growing
  Yeni Medya ve Ýletiþim (Ýngilizce) (Ücretli),10.6965,0.1138,1.4836,0.7075,462994.3975,285.655,3.75,Strongly Growing
  Elektronik ve Haberleþme Mühendisliði (Ýngilizce) (UOLP-New Jersey Institute of Technology) (Ücretli),0.085,0.0194,1.4452,0.65,24879.2,474.312,1.0,Strongly Growing
Ýnsan Kaynaklarý Yönetimi (Ýngilizce) (%50 Ýndirimli),0.4574,0.0536,1.4283,0.6975,510883.875,279.26,1.5,Strongly Growing
