FACULTY_NAME,DEPARTMENT_ID,DEPARTMENT_NAME,LAST_RANK,FIRST_RANK,FIELD_RATE,SUM_ENROLLMENT,SUM_CAPACITY
 Saðlýk Bilimleri Fakültesi,102810271,  Hemþirelik,202066.0,120078.0,1.0,103.0,103.0
 Saðlýk Bilimleri Fakültesi,102810271,Hemþirelik,192261.0,90813.0,1.0,103.0,103.0
 Saðlýk Bilimleri Fakültesi,102810271,Hemþirelik (Fakülte),194442.0,48832.0,1.0,103.0,103.0
 Saðlýk Bilimleri Fakültesi,102810271,Hemþirelik(Fakülte),204722.0,148215.0,1.0,103.0,103.0
 Saðlýk Bilimleri Fakültesi,102890055,  Çocuk Geliþimi,324642.0,260667.0,1.0,52.0,52.0
 Saðlýk Bilimleri Fakültesi,102890055,Çocuk Geliþimi,364335.0,192482.0,1.0,52.0,52.0
 Saðlýk Bilimleri Fakültesi,102890055,Çocuk Geliþimi (Fakülte),237921.0,4427.0,1.0,41.0,41.0
 Saðlýk Bilimleri Fakültesi,102890055,Çocuk Geliþimi(Fakülte),229845.0,169571.0,1.0,41.0,41.0
 Saðlýk Bilimleri Fakültesi,102890060,  Beslenme ve Diyetetik,319650.0,102732.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890060,Beslenme ve Diyetetik,283815.0,185489.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890060,Beslenme ve Diyetetik (Fakülte),244453.0,121240.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890060,Beslenme ve Diyetetik(Fakülte),213407.0,136768.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890061,  Ebelik,234872.0,206058.0,1.0,72.0,72.0
 Saðlýk Bilimleri Fakültesi,102890061,Ebelik,226217.0,203649.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890061,Ebelik (Fakülte),231425.0,206816.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890061,Ebelik(Fakülte),240538.0,217329.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890062,  Fizyoterapi ve Rehabilitasyon,315975.0,246848.0,1.0,52.0,52.0
 Saðlýk Bilimleri Fakültesi,102890062,Fizyoterapi ve Rehabilitasyon,332856.0,258673.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890062,Fizyoterapi ve Rehabilitasyon (Fakülte),262098.0,206750.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890062,Fizyoterapi ve Rehabilitasyon(Fakülte),225104.0,170684.0,1.0,62.0,62.0
 Saðlýk Bilimleri Fakültesi,102890063,  Saðlýk Yönetimi,810823.0,430546.0,1.0,41.0,41.0
 Saðlýk Bilimleri Fakültesi,102890063,Saðlýk Yönetimi,553431.0,506429.0,0.12,6.0,52.0
 Saðlýk Bilimleri Fakültesi,102890063,Saðlýk Yönetimi (Fakülte),656545.0,374295.0,1.0,52.0,52.0
 Saðlýk Bilimleri Fakültesi,102890063,Saðlýk Yönetimi(Fakülte),642681.0,241052.0,1.0,52.0,52.0
 Saðlýk Bilimleri Fakültesi,102890077,  Ergoterapi,291061.0,244138.0,1.0,41.0,41.0
 Saðlýk Bilimleri Fakültesi,102890077,Ergoterapi,312580.0,214999.0,1.0,41.0,41.0
 Saðlýk Bilimleri Fakültesi,102890077,Ergoterapi (Fakülte),281610.0,131745.0,1.0,41.0,41.0
 Saðlýk Bilimleri Fakültesi,102890078,  Sosyal Hizmet,549945.0,328927.0,1.0,41.0,41.0
 Saðlýk Bilimleri Fakültesi,102890078,Sosyal Hizmet,522773.0,265487.0,1.0,41.0,41.0
 Saðlýk Bilimleri Fakültesi,102890078,Sosyal Hizmet (Fakülte),436318.0,43710.0,1.0,41.0,41.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910154,  Ýngilizce Öðretmenliði (Ücretli),100935.0,97448.0,1.0,5.0,5.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910154,Ýngilizce Öðretmenliði (Ücretli),104756.5,92727.5,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910161,  Ýngilizce Öðretmenliði (%50 Ýndirimli),91044.0,46461.0,1.0,30.0,30.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910161,Ýngilizce Öðretmenliði (%50 Ýndirimli),93098.5,53977.5,1.0,38.0,38.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910168,  Ýngilizce Öðretmenliði (Burslu),36828.0,16745.0,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910168,Ýngilizce Öðretmenliði (Burslu),47519.5,25497.5,1.0,9.5,9.5
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910175,  Özel Eðitim Öðretmenliði (Ücretli),121417.0,89649.0,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910175,Özel Eðitim Öðretmenliði (Ücretli),72301.5,47756.0,1.0,11.0,11.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910182,  Özel Eðitim Öðretmenliði (Burslu),27712.0,18503.0,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910182,Özel Eðitim Öðretmenliði (Burslu),19245.0,13617.5,1.0,8.0,8.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910189,  Özel Eðitim Öðretmenliði (%50 Ýndirimli),91163.0,35208.0,1.0,30.0,30.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910189,Özel Eðitim Öðretmenliði (%50 Ýndirimli),52140.0,20821.0,1.0,31.0,31.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910203,  Rehberlik ve Psikolojik Danýþmanlýk (Burslu),297555.0,190235.0,0.6,6.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910203,Rehberlik ve Psikolojik Danýþmanlýk (Burslu),292513.0,232322.0,1.0,5.0,5.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910217,  Psikoloji (Ücretli),1183117.0,931079.0,1.0,7.0,7.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910217,Psikoloji (Ücretli),1069122.5,689380.0,1.0,7.0,7.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910224,  Psikoloji (Burslu),307237.0,177976.0,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910224,Psikoloji (Burslu),228658.0,167015.0,1.0,11.0,11.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910231,  Psikoloji (%50 Ýndirimli),1228277.0,390152.0,1.0,40.0,40.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910231,Psikoloji (%50 Ýndirimli),991025.5,316816.0,1.0,50.0,50.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910238,Hukuk (Ücretli),119299.5,119299.5,0.6,1.0,3.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910245,  Hukuk (Burslu),72321.0,56730.0,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910245,Hukuk (Burslu),63265.0,48239.0,1.0,10.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910252,  Hukuk (%50 Ýndirimli),121495.0,75578.0,0.43,13.0,30.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910252,Hukuk (%50 Ýndirimli),121339.0,67836.5,0.92,23.0,25.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910259,  Ýlahiyat (Burslu),1410292.0,415248.0,0.57,23.0,40.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910259,Ýlahiyat (Burslu),1271488.0,211734.5,1.0,30.0,30.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910266,  Uluslararasý Giriþimcilik (Ýngilizce) (Ücretli),1170445.0,1170445.0,0.1,1.0,10.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910266,Uluslararasý Giriþimcilik (Ýngilizce) (Ücretli),1785730.0,1591636.0,0.4,2.0,5.0
ASBÜ-Kuzey Kýbrýs Yerleþkesi (KKTC-Lefkoþa),110910273,  Uluslararasý Giriþimcilik (Ýngilizce) (Burslu),1312821.0,258678.0,0.4,4.0,10.0
