UNIVERSITY_ID,LAST_RANK_mean,LAST_RANK_min,LAST_RANK_max,LAST_RANK_std,FIRST_RANK_mean,FIRST_RANK_min,FIRST_RANK_max,FIRST_RANK_std,LAST_SCORE_mean,LAST_SCORE_min,LAST_SCORE_max,LAST_SCORE_std,FIRST_SCORE_mean,FIRST_SCORE_min,FIRST_SCORE_max,FIRST_SCORE_std,SUM_CAPACITY_sum,SUM_CAPACITY_mean,SUM_ENROLLMENT_sum,SUM_ENROLLMENT_mean,FIELD_RATE_mean,DEPARTMENT_ID_count,LAST_RANK_CHANGE_mean,FIRST_RANK_CHANGE_mean,LAST_SCORE_CHANGE_mean,FIRST_SCORE_CHANGE_mean,CAPACITY_CHANGE_mean,ENROLLMENT_CHANGE_mean,RANK_RANGE,SCORE_RANGE,RANK_VOLATILITY,SCORE_VOLATILITY,ENROLLMENT_EFFICIENCY,DEPARTMENT_COUNT
1001,365467.35,8093,1643810,284190.29,181054.78,1226,1643810,187556.39,301.89,185.41,501.07,65.68,349.7,185.41,538.99,66.04,21403,59.95,20604,57.71,0.96,357,0.06,0.5,0.02,0.02,-0.0,0.41,184412.56999999998,47.81,235873.34,65.86000000000001,0.96,357
1002,311335.77,8261,1293393,294540.34,109052.74,1170,545129,109169.3,302.09,191.14,492.0,70.91,369.14,227.65,511.83,64.19,10769,53.31,9705,48.04,0.85,202,0.04,0.78,-0.01,-0.01,0.03,0.31,202283.03000000003,67.05000000000001,201854.82,67.55,0.9,202
1003,397626.51,7397,1138156,285235.95,201910.83,988,942784,168078.66,294.82,199.93,503.64,64.25,340.99,213.35,526.92,64.85,30175,62.35,28737,59.37,0.94,484,0.03,0.23,0.03,0.02,0.02,1.16,195715.68000000002,46.170000000000016,226657.305,64.55,0.95,484
1004,422948.57,8678,1381199,308701.09,194346.56,1139,1317389,177971.5,279.68,189.61,430.64,54.39,333.9,217.98,478.64,58.14,20183,53.82,17432,46.49,0.83,375,0.06,0.43,-0.0,-0.0,0.01,1.08,228602.01,54.21999999999997,243336.295,56.265,0.86,375
1005,430705.51,18908,1383482,370269.35,144649.46,2293,796305,148354.41,285.49,172.24,492.36,67.54,350.97,224.53,516.18,60.87,9884,52.3,9262,49.01,0.91,189,0.14,0.78,0.01,0.02,0.03,0.65,286056.05000000005,65.48000000000002,259311.88,64.205,0.94,189
1006,477802.58,18500,1344590,343384.37,216729.59,1589,733738,158845.75,280.59,196.55,493.47,60.06,332.55,225.22,509.84,60.57,11603,52.5,10749,48.64,0.89,221,0.09,0.24,0.02,0.02,0.03,1.3,261072.99000000002,51.960000000000036,251115.06,60.315,0.93,221
1007,243807.16,5004,1297653,187905.81,115367.4,303,1297653,131616.29,320.62,197.84,519.29,60.45,374.0,205.62,544.66,60.88,39480,64.2,39034,63.47,0.98,615,0.01,0.2,0.03,0.02,-0.0,0.17,128439.76000000001,53.379999999999995,159761.05,60.665000000000006,0.99,615
1008,411565.93,9932,1194177,330540.26,166911.23,960,950478,155710.81,292.71,199.29,494.73,65.08,349.8,232.27,512.06,61.31,12651,55.98,11656,51.58,0.91,226,0.08,1.07,0.02,0.02,0.01,0.46,244654.69999999998,57.09000000000003,243125.535,63.195,0.92,226
1009,326205.1,14945,1122863,268606.25,144255.43,1808,559771,131904.29,307.99,199.23,501.23,63.33,356.2,231.21,518.77,60.91,8699,54.71,8296,52.18,0.94,159,0.09,0.26,0.01,0.02,0.03,0.31,181949.66999999998,48.20999999999998,200255.27000000002,62.12,0.95,159
1010,378846.48,3626,1379119,357359.96,74843.61,150,1372166,121165.22,309.43,186.34,470.17,71.06,393.31,213.99,527.63,54.08,123285,357.35,110965,321.64,0.95,345,0.04,1.2,0.03,0.01,0.01,0.31,304002.87,83.88,239262.59000000003,62.57,0.9,345
