DEPARTMENT_ID,LAST_RANK,PREDICTED_LAST_RANK,FIRST_RANK,PREDICTED_FIRST_RANK,Mean_Actual,Mean_Predicted
100110045,16262,16219.988,11856,11584.224,14059.0,13902.105
100110054,18705,19146.97,6588,6707.717,12646.5,12927.344
100110063,121306,121228.82,62363,60313.28,91834.5,90771.05
100110072,103133,102772.05,73925,72703.84,88529.0,87737.945
100110081,90523,88227.54,35265,35048.0,62894.0,61637.77
100110099,33653,34391.895,12237,12210.348,22945.0,23301.121
100110115,405419,407423.2,231079,239007.28,318249.0,323215.25
100110124,414253,424545.34,317099,331604.22,365676.0,378074.78
100110133,323586,327426.62,162950,164635.55,243268.0,246031.1
100110142,319613,318763.78,228304,236507.0,273958.5,277635.38
100110151,96780,96357.98,5769,6234.9116,51274.5,51296.445
100110169,673436,659882.4,341798,344644.22,507617.0,502263.3
100110178,240315,236765.86,46382,47135.426,143348.5,141950.64
100110187,160885,160168.8,23439,22994.232,92162.0,91581.516
100110196,696363,709474.0,111103,114712.85,403733.0,412093.44
100110203,589863,613589.25,224820,229071.77,407341.5,421330.5
100110212,728507,751945.4,197458,197936.27,462982.5,474940.8
100110221,493625,498587.5,118966,120888.93,306295.5,309738.22
100110257,20156,20590.357,10645,10685.109,15400.5,15637.733
100110399,163603,168904.4,115543,120520.8,139573.0,144712.6
100110406,233631,236279.31,163328,170810.36,198479.5,203544.84
100110415,136801,135748.86,88081,91535.914,112441.0,113642.39
100110433,36548,38322.504,27670,27854.111,32109.0,33088.31
100110451,554406,565494.5,216780,223406.44,385593.0,394450.47
100110478,260106,256131.52,22640,22433.076,141373.0,139282.3
100110503,574984,583733.56,419732,430529.53,497358.0,507131.56
100110618,406626,418825.62,277069,289172.84,341847.5,353999.25
100110627,698388,680804.0,352058,369932.06,525223.0,525368.0
100110636,484930,486728.47,165153,171958.39,325041.5,329343.44
100110645,87188,87798.54,59756,62480.715,73472.0,75139.625
100110654,1067172,1063650.4,506084,532175.0,786628.0,797912.7
100110663,550069,561325.0,356520,367587.1,453294.5,464456.06
100110672,8093,8211.451,2125,2176.7522,5109.0,5194.1016
100110681,548763,559616.2,292607,295346.84,420685.0,427481.5
100110706,354284,352722.72,99094,98288.29,226689.0,225505.5
100190121,652685,657252.06,525973,535179.4,589329.0,596215.75
100190151,48013,48061.21,21721,21450.848,34867.0,34756.03
100190153,167290,169054.6,59294,60616.543,113292.0,114835.57
