DEPARTMENT_ID,PREDICTED_LAST_RANK,PREDICTED_FIRST_RANK,Mean_Predicted
100110045,17535.729,9469.1045,13502.416
100110054,22487.912,7524.009,15005.961
100110063,115272.26,58858.652,87065.45
100110072,106287.83,37107.902,71697.87
100110081,75417.89,25489.18,50453.535
100110099,31699.328,7798.9834,19749.156
100110115,389031.8,265596.3,327314.06
100110124,411763.72,286658.28,349211.0
100110133,341477.25,209717.4,275597.3
100110142,325443.25,168433.73,246938.5
100110151,90173.94,20136.45,55155.195
100110169,609878.25,242729.45,426303.84
100110178,321787.3,38826.168,180306.73
100110187,199998.45,44362.883,122180.67
100110196,737780.56,252412.94,495096.75
100110203,648752.25,281430.3,465091.28
100110212,671728.56,186288.19,429008.38
100110221,541247.3,181170.55,361208.94
100110257,18801.434,4305.311,11553.372
100110399,179791.88,129715.375,154753.62
100110406,205973.77,105691.96,155832.86
100110415,138359.62,84856.625,111608.125
100110433,34086.516,25064.094,29575.305
100110451,546949.94,244928.05,395939.0
100110478,190994.03,11800.617,101397.33
100110503,502324.06,371478.06,436901.06
100110618,376006.06,251947.1,313976.56
100110627,676356.9,79603.305,377980.1
100110636,457773.94,176179.39,316976.66
100110645,79414.945,53065.293,66240.12
100110654,934664.4,572646.25,753655.3
100110663,600907.6,341856.84,471382.25
100110672,11421.407,2447.9692,6934.6885
100110681,500983.06,307192.72,404087.88
100110706,297245.72,19384.047,158314.88
100190121,569999.3,436842.16,503420.75
100190151,49453.36,18606.479,34029.918
100190153,166404.11,76132.59,121268.35
100190154,54483.008,7818.5938,31150.8
100190155,763299.7,488755.6,626027.6
100190156,250628.55,133426.61,192027.58
100190170,287414.06,208604.55,248009.31
100190171,793050.1,449246.56,621148.4
100190208,34690.94,16171.903,25431.422
100190209,453258.66,117760.805,285509.72
100190211,495927.12,36936.516,266431.8
100190212,627928.1,337654.72,482791.44
100190213,149319.58,100957.78,125138.68
100210017,264438.25,130873.84,197656.05
100210026,92708.86,49307.414,71008.14
100210035,116748.36,31858.23,74303.3
100210044,81279.33,19492.088,50385.707
100210053,357715.34,109477.58,233596.47
100210062,352354.56,15202.98,183778.77
100210071,227563.69,160320.84,193942.27
100210089,160466.47,47495.516,103980.99
100210098,22710.578,3380.997,13045.787
100210105,158931.89,59484.188,109208.04
100210114,34201.89,6212.365,20207.129
100210132,709331.25,42913.07,376122.16
100210141,761211.9,256922.2,509067.03
100210168,24962.018,9703.839,17332.928
100210177,435799.78,278260.3,357030.06
100210186,521373.9,16355.897,268864.9
100210195,800458.56,334859.7,567659.1
100210202,785349.94,316086.84,550718.4
100210283,50105.168,4267.9707,27186.57
100210308,281293.72,176044.86,228669.28
100210317,772435.7,261204.19,516819.94
100210326,290101.22,256779.39,273440.3
100210353,52123.734,39408.09,45765.914
100210362,38787.086,26572.22,32679.652
100210371,241803.66,15805.02,128804.336
100290057,44586.113,13747.351,29166.732
100290058,779561.6,187571.2,483566.4
100290059,75668.17,45132.438,60400.305
100290060,282641.22,147362.22,215001.72
100290069,9613.44,1929.1655,5771.3027
100290086,803033.0,223889.95,513461.47
100290087,615936.75,140618.94,378277.84
100290088,486935.53,189226.69,338081.12
100310025,20190.371,9868.407,15029.389
100310034,104397.06,59509.04,81953.05
100310043,72382.555,24337.934,48360.242
100310052,794971.2,174190.44,484580.8
100310061,367645.28,196078.5,281861.88
100310079,783563.44,202999.64,493281.53
100310088,390643.47,293198.84,341921.16
100310097,46171.56,20359.992,33265.773
100310104,330638.25,229526.61,280082.44
100310113,307090.22,147790.36,227440.28
100310122,539559.5,159442.73,349501.12
100310131,276700.6,18547.957,147624.28
100310149,187905.47,49654.258,118779.86
100310158,16461.799,5562.3237,11012.062
100310167,85704.9,39889.027,62796.96
100310219,679828.25,370987.38,525407.8
100310228,646917.94,326314.38,486616.16
100310237,573717.6,203078.27,388397.94
100310246,740892.8,350363.2,545628.0
100310264,576121.3,195232.67,385677.0
100310325,495830.2,61998.617,278914.4
100310334,409343.66,248327.62,328835.62
100310343,309081.38,165485.11,237283.25
100310379,444164.72,297578.16,370871.44
100310388,457324.06,387813.84,422568.94
100310397,539877.06,271076.1,405476.56
100310422,550286.9,285081.12,417684.0
100310431,115318.445,63337.62,89328.03
100310449,401105.53,317791.56,359448.56
100310458,286881.16,157953.8,222417.47
100310476,774305.4,407982.7,591144.0
100310519,130137.66,93482.79,111810.22
100310528,174154.06,106324.33,140239.19
100310537,640088.2,300063.44,470075.8
100310546,270540.47,151914.81,211227.64
100310573,22738.168,11243.258,16990.713
100310591,500475.9,369965.94,435220.94
100310607,104977.72,65522.88,85250.3
100310616,423290.06,320024.84,371657.44
100310643,771057.94,410365.78,590711.9
100310652,35317.773,17807.936,26562.855
100310661,815890.56,320773.16,568331.9
100310697,688099.7,383106.72,535603.2
100310713,31451.314,22998.07,27224.691
100310722,700662.2,321913.78,511288.0
100310846,72416.945,38791.3,55604.125
100310855,218018.61,45578.7,131798.66
100310864,57043.867,30983.543,44013.703
100310873,41953.96,11062.6,26508.281
100310925,26817.416,5776.0737,16296.745
100310943,159010.58,73922.484,116466.53
